"","x"
"291","AT1G71080"
"292","AT1G71130"
"293","AT1G71200"
"294","AT1G71260"
"295","AT1G71450"
"296","AT1G71930"
"297","AT1G72010"
"298","AT1G72050"
"299","AT1G72210"
"300","AT1G72360"
"301","AT1G72740"
"302","AT1G72830"
"303","AT1G73360"
"304","AT1G73730"
"305","AT1G73805"
"306","AT1G73830"
"307","AT1G73870"
"308","AT1G74120"
"309","AT1G74430"
"310","AT1G74660"
"311","AT1G74840"
"312","AT1G74890"
"313","AT1G74930"
"314","AT1G75060"
"315","AT1G75080"
"316","AT1G75240"
"317","AT1G75250"
"318","AT1G75390"
"319","AT1G75410"
"320","AT1G75490"
"321","AT1G75540"
"322","AT1G75710"
"323","AT1G76110"
"324","AT1G76320"
"325","AT1G76350"
"326","AT1G76510"
"327","AT1G76710"
"328","AT1G76880"
"329","AT1G76890"
"330","AT1G76900"
"331","AT1G77080"
"332","AT1G77200"
"333","AT1G77450"
"334","AT1G77570"
"335","AT1G77640"
"336","AT1G77850"
"337","AT1G77920"
"338","AT1G78080"
"339","AT1G78540"
"340","AT1G78600"
"341","AT1G78700"
"342","AT1G78930"
"343","AT1G79000"
"344","AT1G79020"
"345","AT1G79180"
"346","AT1G79220"
"347","AT1G79350"
"348","AT1G79430"
"349","AT1G79700"
"350","AT1G79840"
"351","AT1G79950"
"352","AT1G80010"
"353","AT1G80490"
"354","AT1G80840"
"355","AT2G01060"
"356","AT2G01570"
"357","AT2G01760"
"358","AT2G01930"
"359","AT2G01940"
"360","AT2G02060"
"361","AT2G02070"
"362","AT2G02080"
"363","AT2G02450"
"364","AT2G02470"
"365","AT2G02740"
"366","AT2G02820"
"367","AT2G03050"
"368","AT2G03060"
"369","AT2G03150"
"370","AT2G03340"
"371","AT2G03500"
"372","AT2G03710"
"373","AT2G04880"
"374","AT2G04890"
"375","AT2G13570"
"376","AT2G13960"
"377","AT2G14045"
"378","AT2G16400"
"379","AT2G16720"
"380","AT2G16770"
"381","AT2G16780"
"382","AT2G17040"
"383","AT2G17150"
"384","AT2G17390"
"385","AT2G17410"
"386","AT2G17560"
"387","AT2G17930"
"388","AT2G18000"
"389","AT2G18060"
"390","AT2G18120"
"391","AT2G18160"
"392","AT2G18280"
"393","AT2G18300"
"394","AT2G18328"
"395","AT2G18350"
"396","AT2G18380"
"397","AT2G18750"
"398","AT2G18790"
"399","AT2G18969"
"400","AT2G19520"
"401","AT2G19810"
"402","AT2G20110"
"403","AT2G20180"
"404","AT2G20400"
"405","AT2G20570"
"406","AT2G20880"
"407","AT2G21230"
"408","AT2G21240"
"409","AT2G21320"
"410","AT2G21650"
"411","AT2G21710"
"412","AT2G22200"
"413","AT2G22300"
"414","AT2G22370"
"415","AT2G22430"
"416","AT2G22540"
"417","AT2G22670"
"418","AT2G22770"
"419","AT2G22800"
"420","AT2G22840"
"421","AT2G22850"
"422","AT2G23290"
"423","AT2G23320"
"424","AT2G23340"
"425","AT2G23380"
"426","AT2G23740"
"427","AT2G23760"
"428","AT2G24260"
"429","AT2G24300"
"430","AT2G24500"
"431","AT2G24570"
"432","AT2G24790"
"433","AT2G25000"
"434","AT2G25180"
"435","AT2G25420"
"436","AT2G25650"
"437","AT2G25900"
"438","AT2G25930"
"439","AT2G26150"
"440","AT2G26430"
"441","AT2G26580"
"442","AT2G26940"
"443","AT2G27050"
"444","AT2G27100"
"445","AT2G27110"
"446","AT2G27230"
"447","AT2G27300"
"448","AT2G27470"
"449","AT2G28160"
"450","AT2G28200"
"451","AT2G28290"
"452","AT2G28350"
"453","AT2G28510"
"454","AT2G28550"
"455","AT2G28710"
"456","AT2G28810"
"457","AT2G29065"
"458","AT2G29660"
"459","AT2G30250"
"460","AT2G30280"
"461","AT2G30420"
"462","AT2G30432"
"463","AT2G30590"
"464","AT2G31070"
"465","AT2G31230"
"466","AT2G31280"
"467","AT2G31370"
"468","AT2G31380"
"469","AT2G31650"
"470","AT2G31730"
"471","AT2G31840"
"472","AT2G32250"
"473","AT2G32700"
"474","AT2G33310"
"475","AT2G33480"
"476","AT2G33500"
"477","AT2G33550"
"478","AT2G33810"
"479","AT2G33860"
"480","AT2G34010"
"481","AT2G34450"
"482","AT2G34620"
"483","AT2G34640"
"484","AT2G34710"
"485","AT2G34720"
"486","AT2G34900"
"487","AT2G35350"
"488","AT2G35430"
"489","AT2G35530"
"490","AT2G35550"
"491","AT2G35640"
"492","AT2G35700"
"493","AT2G35940"
"494","AT2G36000"
"495","AT2G36010"
"496","AT2G36080"
"497","AT2G36340"
"498","AT2G36400"
"499","AT2G36450"
"500","AT2G36740"
"501","AT2G36990"
"502","AT2G37060"
"503","AT2G37120"
"504","AT2G37260"
"505","AT2G37430"
"506","AT2G37590"
"507","AT2G37630"
"508","AT2G37650"
"509","AT2G38090"
"510","AT2G38250"
"511","AT2G38300"
"512","AT2G38340"
"513","AT2G38470"
"514","AT2G38880"
"515","AT2G38950"
"516","AT2G39250"
"517","AT2G39880"
"518","AT2G40140"
"519","AT2G40200"
"520","AT2G40260"
"521","AT2G40340"
"522","AT2G40435"
"523","AT2G40620"
"524","AT2G40670"
"525","AT2G40750"
"526","AT2G40950"
"527","AT2G40970"
"528","AT2G41070"
"529","AT2G41130"
"530","AT2G41310"
"531","AT2G41710"
"532","AT2G41900"
"533","AT2G41940"
"534","AT2G42200"
"535","AT2G42280"
"536","AT2G42300"
"537","AT2G42380"
"538","AT2G42400"
"539","AT2G42870"
"540","AT2G43000"
"541","AT2G43010"
"542","AT2G43060"
"543","AT2G43500"
"544","AT2G44020"
"545","AT2G44150"
"546","AT2G44730"
"547","AT2G44745"
"548","AT2G44840"
"549","AT2G44910"
"550","AT2G44940"
"551","AT2G45120"
"552","AT2G45160"
"553","AT2G45190"
"554","AT2G45250"
"555","AT2G45480"
"556","AT2G45660"
"557","AT2G45680"
"558","AT2G45880"
"559","AT2G46020"
"560","AT2G46270"
"561","AT2G46310"
"562","AT2G46400"
"563","AT2G46410"
"564","AT2G46510"
"565","AT2G46530"
"566","AT2G46590"
"567","AT2G46680"
"568","AT2G46790"
"569","AT2G46810"
"570","AT2G46830"
"571","AT2G46870"
"572","AT2G46920"
"573","AT2G46970"
"574","AT2G47070"
"575","AT2G47190"
"576","AT2G47260"
"577","AT2G47270"
"578","AT2G47810"
"579","AT2G47890"
"580","AT2G47900"
"581","AT3G01140"
"582","AT3G01220"
"583","AT3G01320"
"584","AT3G01330"
"585","AT3G01460"
"586","AT3G01970"
"587","AT3G02150"
"588","AT3G02310"
"589","AT3G02380"
"590","AT3G02550"
"591","AT3G02790"
"592","AT3G02990"
"593","AT3G03200"
"594","AT3G03450"
"595","AT3G04030"
"596","AT3G04060"
"597","AT3G04070"
"598","AT3G04410"
"599","AT3G04420"
"600","AT3G04450"
"601","AT3G04670"
"602","AT3G04730"
"603","AT3G04740"
"604","AT3G04850"
"605","AT3G04930"
"606","AT3G05430"
"607","AT3G05690"
"608","AT3G05800"
"609","AT3G06120"
"610","AT3G06250"
"611","AT3G06380"
"612","AT3G06490"
"613","AT3G06590"
"614","AT3G06620"
"615","AT3G06630"
"616","AT3G06740"
"617","AT3G07220"
"618","AT3G07260"
"619","AT3G07340"
"620","AT3G07650"
"621","AT3G08500"
"622","AT3G09210"
"623","AT3G09230"
"624","AT3G09370"
"625","AT3G09600"
"626","AT3G09670"
"627","AT3G09735"
"628","AT3G10040"
"629","AT3G10480"
"630","AT3G10490"
"631","AT3G10500"
"632","AT3G10590"
"633","AT3G10760"
"634","AT3G10800"
"635","AT3G11020"
"636","AT3G11100"
"637","AT3G11200"
"638","AT3G11280"
"639","AT3G11440"
"640","AT3G11580"
"641","AT3G12130"
"642","AT3G12250"
"643","AT3G12320"
"644","AT3G12380"
"645","AT3G12480"
"646","AT3G12730"
"647","AT3G12910"
"648","AT3G12980"
"649","AT3G13000"
"650","AT3G13040"
"651","AT3G13180"
"652","AT3G13350"
"653","AT3G13540"
"654","AT3G13810"
"655","AT3G14020"
"656","AT3G14180"
"657","AT3G14230"
"658","AT3G15030"
"659","AT3G15210"
"660","AT3G15270"
"661","AT3G15500"
"662","AT3G15510"
"663","AT3G15540"
"664","AT3G15880"
"665","AT3G16220"
"666","AT3G16230"
"667","AT3G16280"
"668","AT3G16350"
"669","AT3G16500"
"670","AT3G16770"
"671","AT3G16830"
"672","AT3G16857"
"673","AT3G16870"
"674","AT3G16940"
"675","AT3G17100"
"676","AT3G17609"
"677","AT3G17730"
"678","AT3G18010"
"679","AT3G18100"
"680","AT3G18870"
"681","AT3G19290"
"682","AT3G19360"
"683","AT3G19500"
"684","AT3G19510"
"685","AT3G19580"
"686","AT3G19860"
"687","AT3G20310"
"688","AT3G20640"
"689","AT3G20740"
"690","AT3G20770"
"691","AT3G20810"
"692","AT3G20910"
"693","AT3G21150"
"694","AT3G21175"
"695","AT3G21270"
"696","AT3G21330"
"697","AT3G21890"
"698","AT3G22100"
"699","AT3G22170"
"700","AT3G22760"
"701","AT3G22780"
"702","AT3G22961"
"703","AT3G23020"
"704","AT3G23030"
"705","AT3G23050"
"706","AT3G23210"
"707","AT3G23230"
"708","AT3G23250"
"709","AT3G23690"
"710","AT3G23980"
"711","AT3G24050"
"712","AT3G24120"
"713","AT3G24140"
"714","AT3G24150"
"715","AT3G24490"
"716","AT3G24500"
"717","AT3G24520"
"718","AT3G24860"
"719","AT3G25710"
"720","AT3G25730"
"721","AT3G25890"
"722","AT3G25990"
"723","AT3G26744"
"724","AT3G27010"
"725","AT3G27860"
"726","AT3G28730"
"727","AT3G28857"
"728","AT3G28910"
"729","AT3G28920"
"730","AT3G29035"
"731","AT3G29370"
"732","AT3G33520"
"733","AT3G42790"
"734","AT3G44350"
"735","AT3G44530"
"736","AT3G45260"
"737","AT3G45610"
"738","AT3G46080"
"739","AT3G46090"
"740","AT3G46130"
"741","AT3G46600"
"742","AT3G46640"
"743","AT3G46950"
"744","AT3G47500"
"745","AT3G47600"
"746","AT3G47610"
"747","AT3G47620"
"748","AT3G47640"
"749","AT3G48100"
"750","AT3G48160"
"751","AT3G48360"
"752","AT3G48430"
"753","AT3G48590"
"754","AT3G48710"
"755","AT3G49530"
"756","AT3G49850"
"757","AT3G49930"
"758","AT3G50060"
"759","AT3G50260"
"760","AT3G50410"
"761","AT3G50650"
