"","x"
"1248","AT5G53290"
"1249","AT5G54180"
"1250","AT5G54470"
"1251","AT5G54630"
"1252","AT5G54680"
"1253","AT5G55390"
"1254","AT5G55580"
"1255","AT5G56270"
"1256","AT5G56780"
"1257","AT5G56860"
"1258","AT5G57150"
"1259","AT5G57180"
"1260","AT5G57390"
"1261","AT5G57520"
"1262","AT5G57580"
"1263","AT5G57660"
"1264","AT5G57760"
"1265","AT5G57780"
"1266","AT5G58230"
"1267","AT5G58620"
"1268","AT5G58900"
"1269","AT5G59340"
"1270","AT5G59450"
"1271","AT5G59710"
"1272","AT5G59780"
"1273","AT5G59820"
"1274","AT5G60100"
"1275","AT5G60120"
"1276","AT5G60200"
"1277","AT5G60450"
"1278","AT5G60690"
"1279","AT5G60850"
"1280","AT5G60890"
"1281","AT5G60910"
"1282","AT5G60970"
"1283","AT5G61270"
"1284","AT5G61380"
"1285","AT5G61420"
"1286","AT5G61590"
"1287","AT5G61600"
"1288","AT5G61760"
"1289","AT5G62000"
"1290","AT5G62020"
"1291","AT5G62380"
"1292","AT5G62430"
"1293","AT5G62470"
"1294","AT5G62570"
"1295","AT5G62610"
"1296","AT5G62920"
"1297","AT5G62940"
"1298","AT5G63160"
"1299","AT5G63470"
"1300","AT5G63550"
"1301","AT5G63670"
"1302","AT5G63790"
"1303","AT5G64060"
"1304","AT5G64170"
"1305","AT5G64220"
"1306","AT5G64420"
"1307","AT5G64530"
"1308","AT5G64610"
"1309","AT5G64750"
"1310","AT5G64810"
"1311","AT5G64950"
"1312","AT5G65050"
"1313","AT5G65060"
"1314","AT5G65080"
"1315","AT5G65210"
"1316","AT5G65310"
"1317","AT5G65410"
"1318","AT5G65590"
"1319","AT5G65640"
"1320","AT5G65670"
"1321","AT5G66300"
"1322","AT5G66320"
"1323","AT5G66350"
"1324","AT5G66730"
"1325","AT5G66770"
"1326","AT5G66980"
"1327","AT5G67060"
"1328","AT5G67110"
"1329","AT5G67180"
"1330","AT5G67190"
"1331","AT5G67300"
"1332","AT5G67450"
"1333","AT5G67480"
"1334","AT5G67580"
