"","gcv_value","iqr_value","woo_differentially_expressed","regulator_in_GRN"
"AT5G55740",0.00757211598126385,3.07147898949918,TRUE,FALSE
"AT5G43960",0.00757821198477296,2.76893787510955,FALSE,FALSE
"AT4G03150",0.0075798620052285,2.02816475409574,TRUE,FALSE
"AT4G18480",0.00759550343006211,3.98796394320255,TRUE,FALSE
"AT2G02370",0.00761219748513425,1.90258907087759,TRUE,FALSE
"AT1G14030",0.00762158345312198,3.4621950073523,TRUE,FALSE
"AT1G02610",0.00765947482159457,2.08430085423928,FALSE,FALSE
"AT1G71697",0.00766708273788639,2.46551161480872,TRUE,FALSE
"AT4G27700",0.00767425254659022,2.25483482481198,TRUE,FALSE
"AT3G06760",0.00768151910563223,2.01878409210446,FALSE,FALSE
"AT1G79660",0.00770388171841944,2.12623105537043,FALSE,FALSE
"AT1G19310",0.00771649109193532,2.34433699646357,FALSE,FALSE
"AT5G60860",0.00780294514766079,2.66722251187812,TRUE,FALSE
"AT5G65860",0.00780630801034418,2.34052894181862,FALSE,FALSE
"AT5G11270",0.00781994092436327,2.29368185594912,FALSE,FALSE
"AT3G53700",0.00782203625057847,2.63291523026596,FALSE,FALSE
"AT1G28090",0.00782765740935915,2.17826919989638,FALSE,FALSE
"AT1G70590",0.00783030532730345,1.80587740827787,FALSE,FALSE
"AT4G05150",0.0078611589406316,2.6136430743376,FALSE,FALSE
"AT3G10300",0.00786846219061395,2.07571384054977,FALSE,FALSE
"AT5G61210",0.00787801138190083,1.99364849370134,TRUE,FALSE
"AT1G07000",0.00788982011895686,2.17091237751429,TRUE,FALSE
"AT5G10695",0.00790146157259641,2.19063387798432,TRUE,FALSE
"AT1G07790",0.0079335779519963,2.26690735929954,FALSE,FALSE
"AT5G05750",0.00799433016529947,2.27925740336071,FALSE,FALSE
"AT2G04305",0.00800491121697496,1.98420244481866,FALSE,FALSE
"AT2G31410",0.0080233757308887,2.14666698379884,FALSE,FALSE
"AT1G30610",0.00802724127123936,2.82623740639748,FALSE,FALSE
"AT2G31870",0.00802940594525631,2.38850446754229,FALSE,FALSE
"AT1G74720",0.00805452938785,2.4112589376393,FALSE,FALSE
"AT2G47060",0.00806180218195622,1.73493572882595,TRUE,FALSE
"AT5G64050",0.00806768757856554,3.09960017581042,FALSE,FALSE
"AT5G15260",0.0080763171148481,2.53964912192249,TRUE,FALSE
"AT1G16110",0.00807852537327597,2.35600747178227,FALSE,FALSE
"AT4G27960",0.00811210342947766,2.93481152036537,TRUE,FALSE
"AT4G19200",0.00811278279411688,3.02034666877377,FALSE,FALSE
"AT4G12040",0.00813445083137395,2.52237778725908,TRUE,FALSE
"AT4G17170",0.00818857876150164,3.11042114595117,TRUE,FALSE
