,gene_name,combined_name_id
AT1G62886,AT1G62886,AT1G62886 (AT1G62886)
AT1G62910,AT1G62910,AT1G62910 (AT1G62910)
AT1G62914,AT1G62914,AT1G62914 (AT1G62914)
AT1G62920,AT1G62920,AT1G62920 (AT1G62920)
AT1G62930,RPF3,RPF3 (AT1G62930)
AT1G62935,AT1G62935,AT1G62935 (AT1G62935)
AT1G62950,AT1G62950,AT1G62950 (AT1G62950)
AT1G62960,ACS10,ACS10 (AT1G62960)
AT1G62970,AT1G62970,AT1G62970 (AT1G62970)
AT1G62975,AT1G62975,AT1G62975 (AT1G62975)
AT1G62981,AT1G62981,AT1G62981 (AT1G62981)
AT1G62990,KNAT7,KNAT7 (AT1G62990)
AT1G63000,NRS/ER,NRS/ER (AT1G63000)
AT1G63010,AT1G63010,AT1G63010 (AT1G63010)
AT1G63020,NRPD1A,NRPD1A (AT1G63020)
AT1G63050,LPLAT2,LPLAT2 (AT1G63050)
AT1G63070,AT1G63070,AT1G63070 (AT1G63070)
AT1G63080,AT1G63080,AT1G63080 (AT1G63080)
AT1G63090,PP2-A11,PP2-A11 (AT1G63090)
AT1G63100,AT1G63100,AT1G63100 (AT1G63100)
AT1G63110,AT1G63110,AT1G63110 (AT1G63110)
AT1G63120,RBL2,RBL2 (AT1G63120)
AT1G63130,AT1G63130,AT1G63130 (AT1G63130)
AT1G63150,AT1G63150,AT1G63150 (AT1G63150)
AT1G63160,RFC2,RFC2 (AT1G63160)
AT1G63170,AT1G63170,AT1G63170 (AT1G63170)
AT1G63180,UGE3,UGE3 (AT1G63180)
AT1G63190,AT1G63190,AT1G63190 (AT1G63190)
AT1G63220,AT1G63220,AT1G63220 (AT1G63220)
AT1G63230,AT1G63230,AT1G63230 (AT1G63230)
AT1G63240,AT1G63240,AT1G63240 (AT1G63240)
AT1G63245,CLE14,CLE14 (AT1G63245)
AT1G63250,AT1G63250,AT1G63250 (AT1G63250)
AT1G63260,TET10,TET10 (AT1G63260)
AT1G63270,ABCI1,ABCI1 (AT1G63270)
AT1G63280,AT1G63280,AT1G63280 (AT1G63280)
AT1G63290,AT1G63290,AT1G63290 (AT1G63290)
AT1G63295,AT1G63295,AT1G63295 (AT1G63295)
AT1G63300,AT1G63300,AT1G63300 (AT1G63300)
AT1G63310,AT1G63310,AT1G63310 (AT1G63310)
AT1G63320,AT1G63320,AT1G63320 (AT1G63320)
AT1G63330,AT1G63330,AT1G63330 (AT1G63330)
AT1G63350,AT1G63350,AT1G63350 (AT1G63350)
AT1G63360,AT1G63360,AT1G63360 (AT1G63360)
AT1G63380,AT1G63380,AT1G63380 (AT1G63380)
AT1G63390,AT1G63390,AT1G63390 (AT1G63390)
AT1G63400,AT1G63400,AT1G63400 (AT1G63400)
AT1G63420,AT1G63420,AT1G63420 (AT1G63420)
AT1G63430,AT1G63430,AT1G63430 (AT1G63430)
AT1G63440,HMA5,HMA5 (AT1G63440)
AT1G63460,GPX8,GPX8 (AT1G63460)
AT1G63470,AT1G63470,AT1G63470 (AT1G63470)
AT1G63480,AT1G63480,AT1G63480 (AT1G63480)
AT1G63490,AT1G63490,AT1G63490 (AT1G63490)
AT1G63500,BSK7,BSK7 (AT1G63500)
AT1G63520,AT1G63520,AT1G63520 (AT1G63520)
AT1G63530,AT1G63530,AT1G63530 (AT1G63530)
AT1G63540,AT1G63540,AT1G63540 (AT1G63540)
AT1G63610,AT1G63610,AT1G63610 (AT1G63610)
AT1G63630,AT1G63630,AT1G63630 (AT1G63630)
AT1G63640,AT1G63640,AT1G63640 (AT1G63640)
AT1G63650,EGL3,EGL3 (AT1G63650)
AT1G63660,AT1G63660,AT1G63660 (AT1G63660)
AT1G63670,TRM12,TRM12 (AT1G63670)
AT1G63680,MURE,MURE (AT1G63680)
AT1G63690,SPPL2,SPPL2 (AT1G63690)
AT1G63700,YDA,YDA (AT1G63700)
AT1G63720,AT1G63720,AT1G63720 (AT1G63720)
AT1G63730,AT1G63730,AT1G63730 (AT1G63730)
AT1G63740,AT1G63740,AT1G63740 (AT1G63740)
AT1G63750,AT1G63750,AT1G63750 (AT1G63750)
AT1G63770,AT1G63770,AT1G63770 (AT1G63770)
AT1G63780,IMP4,IMP4 (AT1G63780)
AT1G63800,UBC5,UBC5 (AT1G63800)
AT1G63810,AT1G63810,AT1G63810 (AT1G63810)
AT1G63820,AT1G63820,AT1G63820 (AT1G63820)
AT1G63830,AT1G63830,AT1G63830 (AT1G63830)
AT1G63840,AT1G63840,AT1G63840 (AT1G63840)
AT1G63850,AT1G63850,AT1G63850 (AT1G63850)
AT1G63855,AT1G63855,AT1G63855 (AT1G63855)
AT1G63860,AT1G63860,AT1G63860 (AT1G63860)
AT1G63870,AT1G63870,AT1G63870 (AT1G63870)
AT1G63900,DAL1,DAL1 (AT1G63900)
AT1G63930,ROH1,ROH1 (AT1G63930)
AT1G63940,MDAR6,MDAR6 (AT1G63940)
AT1G63950,AT1G63950,AT1G63950 (AT1G63950)
AT1G63960,AT1G63960,AT1G63960 (AT1G63960)
AT1G63970,ISPF,ISPF (AT1G63970)
AT1G63980,AT1G63980,AT1G63980 (AT1G63980)
AT1G64020,AT1G64020,AT1G64020 (AT1G64020)
AT1G64040,TOPP3,TOPP3 (AT1G64040)
AT1G64050,AT1G64050,AT1G64050 (AT1G64050)
AT1G64060,RBOH F,RBOH F (AT1G64060)
AT1G64065,AT1G64065,AT1G64065 (AT1G64065)
AT1G64080,MAKR2,MAKR2 (AT1G64080)
AT1G64090,RTNLB3,RTNLB3 (AT1G64090)
AT1G64105,NAC027,NAC027 (AT1G64105)
AT1G64110,DAA1,DAA1 (AT1G64110)
AT1G64140,AT1G64140,AT1G64140 (AT1G64140)
AT1G64150,AT1G64150,AT1G64150 (AT1G64150)
AT1G64170,CHX16,CHX16 (AT1G64170)
AT1G64180,AT1G64180,AT1G64180 (AT1G64180)
AT1G64185,AT1G64185,AT1G64185 (AT1G64185)
AT1G64190,AT1G64190,AT1G64190 (AT1G64190)
AT1G64200,VHA-E3,VHA-E3 (AT1G64200)
AT1G64220,TOM7-2,TOM7-2 (AT1G64220)
AT1G64230,UBC28,UBC28 (AT1G64230)
AT1G64270,AT1G64270,AT1G64270
AT1G64280,NPR1,NPR1 (AT1G64280)
AT1G64300,AT1G64300,AT1G64300 (AT1G64300)
AT1G64320,AT1G64320,AT1G64320 (AT1G64320)
AT1G64330,AT1G64330,AT1G64330 (AT1G64330)
AT1G64350,SEH1H,SEH1H (AT1G64350)
AT1G64355,AT1G64355,AT1G64355 (AT1G64355)
AT1G64360,AT1G64360,AT1G64360 (AT1G64360)
AT1G64370,AT1G64370,AT1G64370 (AT1G64370)
AT1G64380,AT1G64380,AT1G64380 (AT1G64380)
AT1G64385,AT1G64385,AT1G64385 (AT1G64385)
AT1G64390,GH9C2,GH9C2 (AT1G64390)
AT1G64400,LACS3,LACS3 (AT1G64400)
AT1G64430,AT1G64430,AT1G64430 (AT1G64430)
AT1G64440,RHD1,RHD1 (AT1G64440)
AT1G64450,AT1G64450,AT1G64450 (AT1G64450)
AT1G64460,AT1G64460,AT1G64460
AT1G64470,AT1G64470,AT1G64470
AT1G64490,AT1G64490,AT1G64490
AT1G64500,AT1G64500,AT1G64500 (AT1G64500)
AT1G64510,AT1G64510,AT1G64510 (AT1G64510)
AT1G64520,RPN12a,RPN12a (AT1G64520)
AT1G64530,AT1G64530,AT1G64530 (AT1G64530)
AT1G64550,ABCF3,ABCF3 (AT1G64550)
AT1G64560,AT1G64560,AT1G64560
AT1G64561,AT1G64561,AT1G64561 (AT1G64561)
AT1G64563,AT1G64563,AT1G64563 (AT1G64563)
AT1G64570,DUO3,DUO3 (AT1G64570)
AT1G64572,AT1G64572,AT1G64572 (AT1G64572)
AT1G64580,AT1G64580,AT1G64580 (AT1G64580)
AT1G64583,AT1G64583,AT1G64583 (AT1G64583)
AT1G64600,AT1G64600,AT1G64600 (AT1G64600)
AT1G64610,AT1G64610,AT1G64610 (AT1G64610)
AT1G64620,AT1G64620,AT1G64620 (AT1G64620)
AT1G64625,AT1G64625,AT1G64625 (AT1G64625)
AT1G64628,AT1G64628,AT1G64628
AT1G64640,ENODL8,ENODL8 (AT1G64640)
AT1G64650,AT1G64650,AT1G64650 (AT1G64650)
AT1G64660,MGL,MGL (AT1G64660)
AT1G64670,BDG1,BDG1 (AT1G64670)
AT1G64680,AT1G64680,AT1G64680 (AT1G64680)
AT1G64690,BLT,BLT (AT1G64690)
AT1G64700,AT1G64700,AT1G64700 (AT1G64700)
AT1G64710,AT1G64710,AT1G64710 (AT1G64710)
AT1G64720,CP5,CP5 (AT1G64720)
AT1G64740,TUA1,TUA1 (AT1G64740)
AT1G64750,DSS1(I),DSS1(I) (AT1G64750)
AT1G64760,AT1G64760,AT1G64760 (AT1G64760)
AT1G64770,PnsB2,PnsB2 (AT1G64770)
AT1G64780,AMT1;2,AMT1;2 (AT1G64780)
AT1G64790,ILA,ILA (AT1G64790)
AT1G64810,APO1,APO1 (AT1G64810)
AT1G64840,AT1G64840,AT1G64840 (AT1G64840)
AT1G64850,AT1G64850,AT1G64850 (AT1G64850)
AT1G64860,SIGA,SIGA (AT1G64860)
AT1G64880,AT1G64880,AT1G64880 (AT1G64880)
AT1G64890,AT1G64890,AT1G64890 (AT1G64890)
AT1G64900,CYP89A2,CYP89A2 (AT1G64900)
AT1G64930,CYP89A7,CYP89A7 (AT1G64930)
AT1G64940,CYP89A6,CYP89A6 (AT1G64940)
AT1G64950,CYP89A5,CYP89A5 (AT1G64950)
AT1G64960,HEB1,HEB1 (AT1G64960)
AT1G64970,G-TMT,G-TMT (AT1G64970)
AT1G64980,CDI,CDI (AT1G64980)
AT1G64990,GTG1,GTG1 (AT1G64990)
AT1G65000,AT1G65000,AT1G65000 (AT1G65000)
AT1G65010,AT1G65010,AT1G65010 (AT1G65010)
AT1G65020,AT1G65020,AT1G65020 (AT1G65020)
AT1G65030,AT1G65030,AT1G65030 (AT1G65030)
AT1G65032,AT1G65032,AT1G65032 (AT1G65032)
AT1G65040,Hrd1B,Hrd1B (AT1G65040)
AT1G65060,4CL3,4CL3 (AT1G65060)
AT1G65070,AT1G65070,AT1G65070 (AT1G65070)
AT1G65080,AT1G65080,AT1G65080 (AT1G65080)
AT1G65150,AT1G65150,AT1G65150 (AT1G65150)
AT1G65180,AT1G65180,AT1G65180 (AT1G65180)
AT1G65190,AT1G65190,AT1G65190 (AT1G65190)
AT1G65200,AT1G65200,AT1G65200 (AT1G65200)
AT1G65220,AT1G65220,AT1G65220 (AT1G65220)
AT1G65230,AT1G65230,AT1G65230 (AT1G65230)
AT1G65240,AT1G65240,AT1G65240 (AT1G65240)
AT1G65250,AT1G65250,AT1G65250 (AT1G65250)
AT1G65260,PTAC4,PTAC4 (AT1G65260)
AT1G65270,AT1G65270,AT1G65270 (AT1G65270)
AT1G65280,AT1G65280,AT1G65280 (AT1G65280)
AT1G65290,mtACP2,mtACP2 (AT1G65290)
AT1G65295,AT1G65295,AT1G65295 (AT1G65295)
AT1G65300,AGL38,AGL38 (AT1G65300)
AT1G65310,XTH17,XTH17 (AT1G65310)
AT1G65320,CBSX6,CBSX6 (AT1G65320)
AT1G65370,AT1G65370,AT1G65370 (AT1G65370)
AT1G65380,CLV2,CLV2 (AT1G65380)
AT1G65390,PP2-A5,PP2-A5 (AT1G65390)
AT1G65410,ABCI13,ABCI13 (AT1G65410)
AT1G65420,NPQ7,NPQ7 (AT1G65420)
AT1G65430,ARI8,ARI8 (AT1G65430)
AT1G65440,GTB1,GTB1 (AT1G65440)
AT1G65450,GLC,GLC (AT1G65450)
AT1G65470,FAS1,FAS1 (AT1G65470)
AT1G65480,FT,FT (AT1G65480)
AT1G65481,AT1G65481,AT1G65481 (AT1G65481)
AT1G65484,AT1G65484,AT1G65484 (AT1G65484)
AT1G65486,AT1G65486,AT1G65486 (AT1G65486)
AT1G65490,AT1G65490,AT1G65490 (AT1G65490)
AT1G65500,AT1G65500,AT1G65500 (AT1G65500)
AT1G65510,AT1G65510,AT1G65510 (AT1G65510)
AT1G65520,ECI1,ECI1 (AT1G65520)
AT1G65540,LETM2,LETM2 (AT1G65540)
AT1G65560,AT1G65560,AT1G65560 (AT1G65560)
AT1G65580,FRA3,FRA3 (AT1G65580)
AT1G65590,HEXO3,HEXO3 (AT1G65590)
AT1G65620,AS2,AS2 (AT1G65620)
AT1G65650,UCH2,UCH2 (AT1G65650)
AT1G65660,SMP1,SMP1 (AT1G65660)
AT1G65690,AT1G65690,AT1G65690 (AT1G65690)
AT1G65700,LSM8,LSM8 (AT1G65700)
AT1G65710,AT1G65710,AT1G65710 (AT1G65710)
AT1G65720,AT1G65720,AT1G65720 (AT1G65720)
AT1G65730,YSL7,YSL7 (AT1G65730)
AT1G65760,AT1G65760,AT1G65760 (AT1G65760)
AT1G65790,RK1,RK1 (AT1G65790)
AT1G65800,RK2,RK2 (AT1G65800)
AT1G65820,AT1G65820,AT1G65820 (AT1G65820)
AT1G65840,PAO4,PAO4 (AT1G65840)
AT1G65845,AT1G65845,AT1G65845 (AT1G65845)
AT1G65860,FMO GS-OX1,FMO GS-OX1 (AT1G65860)
AT1G65870,AT1G65870,AT1G65870 (AT1G65870)
AT1G65890,AAE12,AAE12 (AT1G65890)
AT1G65900,AT1G65900,AT1G65900 (AT1G65900)
AT1G65910,NAC028,NAC028 (AT1G65910)
AT1G65920,AT1G65920,AT1G65920 (AT1G65920)
AT1G65930,cICDH,cICDH (AT1G65930)
AT1G65950,AT1G65950,AT1G65950 (AT1G65950)
AT1G65960,GAD2,GAD2 (AT1G65960)
AT1G65970,TPX2,TPX2 (AT1G65970)
AT1G65980,TPX1,TPX1 (AT1G65980)
AT1G66040,VIM4,VIM4 (AT1G66040)
AT1G66050,VIM2,VIM2 (AT1G66050)
AT1G66070,AT1G66070,AT1G66070 (AT1G66070)
AT1G66080,AT1G66080,AT1G66080 (AT1G66080)
AT1G66090,AT1G66090,AT1G66090 (AT1G66090)
AT1G66110,AT1G66110,AT1G66110 (AT1G66110)
AT1G66130,AT1G66130,AT1G66130 (AT1G66130)
AT1G66140,ZFP4,ZFP4 (AT1G66140)
AT1G66150,TMK1,TMK1 (AT1G66150)
AT1G66160,CMPG1,CMPG1 (AT1G66160)
AT1G66173,AT1G66173,AT1G66173 (AT1G66173)
AT1G66180,AT1G66180,AT1G66180 (AT1G66180)
AT1G66190,AT1G66190,AT1G66190 (AT1G66190)
AT1G66200,GSR2,GSR2 (AT1G66200)
AT1G66230,MYB20,MYB20 (AT1G66230)
AT1G66240,ATX1,ATX1 (AT1G66240)
AT1G66250,AT1G66250,AT1G66250 (AT1G66250)
AT1G66260,AT1G66260,AT1G66260 (AT1G66260)
AT1G66330,AT1G66330,AT1G66330 (AT1G66330)
AT1G66340,ETR1,ETR1 (AT1G66340)
AT1G66345,AT1G66345,AT1G66345 (AT1G66345)
AT1G66350,RGL1,RGL1 (AT1G66350)
AT1G66400,CML23,CML23 (AT1G66400)
AT1G66410,CAM4,CAM4 (AT1G66410)
AT1G66430,AT1G66430,AT1G66430 (AT1G66430)
AT1G66460,AT1G66460,AT1G66460 (AT1G66460)
AT1G66480,AT1G66480,AT1G66480 (AT1G66480)
AT1G66500,AT1G66500,AT1G66500 (AT1G66500)
AT1G66510,AT1G66510,AT1G66510 (AT1G66510)
AT1G66520,pde194,pde194 (AT1G66520)
AT1G66530,AT1G66530,AT1G66530 (AT1G66530)
AT1G66540,AT1G66540,AT1G66540 (AT1G66540)
AT1G66570,SUC7,SUC7 (AT1G66570)
AT1G66580,SAG24,SAG24 (AT1G66580)
AT1G66620,AT1G66620,AT1G66620 (AT1G66620)
AT1G66660,AT1G66660,AT1G66660 (AT1G66660)
AT1G66670,CLPP3,CLPP3 (AT1G66670)
AT1G66680,AR401,AR401 (AT1G66680)
AT1G66690,AT1G66690,AT1G66690 (AT1G66690)
AT1G66700,PXMT1,PXMT1 (AT1G66700)
AT1G66730,LIG6,LIG6 (AT1G66730)
AT1G66740,SGA2,SGA2 (AT1G66740)
AT1G66750,CAK4,CAK4 (AT1G66750)
AT1G66760,AT1G66760,AT1G66760 (AT1G66760)
AT1G66810,AT1G66810,AT1G66810 (AT1G66810)
AT1G66820,AT1G66820,AT1G66820 (AT1G66820)
AT1G66830,AT1G66830,AT1G66830 (AT1G66830)
AT1G66840,PMI2,PMI2 (AT1G66840)
AT1G66880,AT1G66880,AT1G66880 (AT1G66880)
AT1G66890,AT1G66890,AT1G66890 (AT1G66890)
AT1G66900,AT1G66900,AT1G66900 (AT1G66900)
AT1G66910,AT1G66910,AT1G66910 (AT1G66910)
AT1G66920,AT1G66920,AT1G66920 (AT1G66920)
AT1G66940,AT1G66940,AT1G66940 (AT1G66940)
AT1G66970,SVL2,SVL2 (AT1G66970)
AT1G66980,SNC4,SNC4 (AT1G66980)
AT1G66990,AT1G66990,AT1G66990
AT1G67035,AT1G67035,AT1G67035 (AT1G67035)
AT1G67040,TRM22,TRM22 (AT1G67040)
AT1G67050,AT1G67050,AT1G67050 (AT1G67050)
AT1G67060,AT1G67060,AT1G67060 (AT1G67060)
AT1G67070,DIN9,DIN9 (AT1G67070)
AT1G67080,ABA4,ABA4 (AT1G67080)
AT1G67090,RBCS1A,RBCS1A (AT1G67090)
AT1G67105,AT1G67105,AT1G67105 (AT1G67105)
AT1G67120,AT1G67120,AT1G67120 (AT1G67120)
AT1G67140,SWEETIE,SWEETIE (AT1G67140)
AT1G67148,AT1G67148,AT1G67148 (AT1G67148)
AT1G67170,AT1G67170,AT1G67170 (AT1G67170)
AT1G67180,AT1G67180,AT1G67180 (AT1G67180)
AT1G67190,AT1G67190,AT1G67190 (AT1G67190)
AT1G67210,AT1G67210,AT1G67210 (AT1G67210)
AT1G67230,LINC1,LINC1 (AT1G67230)
AT1G67238,AT1G67238,AT1G67238 (AT1G67238)
AT1G67250,AT1G67250,AT1G67250 (AT1G67250)
AT1G67265,RTFL21,RTFL21 (AT1G67265)
AT1G67280,AT1G67280,AT1G67280 (AT1G67280)
AT1G67300,AT1G67300,AT1G67300 (AT1G67300)
AT1G67310,AT1G67310,AT1G67310 (AT1G67310)
AT1G67320,EMB2813,EMB2813 (AT1G67320)
AT1G67325,AT1G67325,AT1G67325 (AT1G67325)
AT1G67330,AT1G67330,AT1G67330 (AT1G67330)
AT1G67340,AT1G67340,AT1G67340 (AT1G67340)
AT1G67350,AT1G67350,AT1G67350 (AT1G67350)
AT1G67360,AT1G67360,AT1G67360 (AT1G67360)
AT1G67400,AT1G67400,AT1G67400 (AT1G67400)
AT1G67410,AT1G67410,AT1G67410 (AT1G67410)
AT1G67420,AT1G67420,AT1G67420 (AT1G67420)
AT1G67430,AT1G67430,AT1G67430 (AT1G67430)
AT1G67440,emb1688,emb1688 (AT1G67440)
AT1G67460,AT1G67460,AT1G67460 (AT1G67460)
AT1G67470,AT1G67470,AT1G67470 (AT1G67470)
AT1G67480,AT1G67480,AT1G67480 (AT1G67480)
AT1G67490,GCS1,GCS1 (AT1G67490)
AT1G67500,REV3,REV3 (AT1G67500)
AT1G67510,AT1G67510,AT1G67510 (AT1G67510)
AT1G67520,AT1G67520,AT1G67520 (AT1G67520)
AT1G67530,AT1G67530,AT1G67530 (AT1G67530)
AT1G67550,URE,URE (AT1G67550)
AT1G67560,LOX6,LOX6 (AT1G67560)
AT1G67570,AT1G67570,AT1G67570 (AT1G67570)
AT1G67580,AT1G67580,AT1G67580 (AT1G67580)
AT1G67590,AT1G67590,AT1G67590 (AT1G67590)
AT1G67600,AT1G67600,AT1G67600 (AT1G67600)
AT1G67620,AT1G67620,AT1G67620 (AT1G67620)
AT1G67630,POLA2,POLA2 (AT1G67630)
AT1G67650,AT1G67650,AT1G67650 (AT1G67650)
AT1G67660,AT1G67660,AT1G67660 (AT1G67660)
AT1G67680,AT1G67680,AT1G67680 (AT1G67680)
AT1G67690,AT1G67690,AT1G67690 (AT1G67690)
AT1G67700,AT1G67700,AT1G67700 (AT1G67700)
AT1G67710,ARR11,ARR11 (AT1G67710)
AT1G67720,AT1G67720,AT1G67720 (AT1G67720)
AT1G67730,KCR1,KCR1 (AT1G67730)
AT1G67740,PSBY,PSBY (AT1G67740)
AT1G67750,AT1G67750,AT1G67750 (AT1G67750)
AT1G67780,AT1G67780,AT1G67780 (AT1G67780)
AT1G67785,AT1G67785,AT1G67785 (AT1G67785)
AT1G67790,AT1G67790,AT1G67790 (AT1G67790)
AT1G67792,AT1G67792,AT1G67792 (AT1G67792)
AT1G67800,AT1G67800,AT1G67800 (AT1G67800)
AT1G67810,SUFE2,SUFE2 (AT1G67810)
AT1G67820,AT1G67820,AT1G67820 (AT1G67820)
AT1G67830,FXG1,FXG1 (AT1G67830)
AT1G67840,CSK,CSK (AT1G67840)
AT1G67850,AT1G67850,AT1G67850 (AT1G67850)
AT1G67855,AT1G67855,AT1G67855 (AT1G67855)
AT1G67856,AT1G67856,AT1G67856
AT1G67860,AT1G67860,AT1G67860 (AT1G67860)
AT1G67865,AT1G67865,AT1G67865 (AT1G67865)
AT1G67870,AT1G67870,AT1G67870 (AT1G67870)
AT1G67880,AT1G67880,AT1G67880 (AT1G67880)
AT1G67890,AT1G67890,AT1G67890 (AT1G67890)
AT1G67900,AT1G67900,AT1G67900 (AT1G67900)
AT1G67910,AT1G67910,AT1G67910 (AT1G67910)
AT1G67920,AT1G67920,AT1G67920 (AT1G67920)
AT1G67930,AT1G67930,AT1G67930 (AT1G67930)
AT1G67940,ABCI17,ABCI17 (AT1G67940)
AT1G67950,AT1G67950,AT1G67950 (AT1G67950)
AT1G67960,POD1,POD1 (AT1G67960)
AT1G67970,HSFA8,HSFA8 (AT1G67970)
AT1G67980,CCOAMT,CCOAMT (AT1G67980)
AT1G67990,TSM1,TSM1 (AT1G67990)
AT1G68000,PIS1,PIS1 (AT1G68000)
AT1G68010,HPR,HPR (AT1G68010)
AT1G68020,ATTPS6,ATTPS6 (AT1G68020)
AT1G68030,AT1G68030,AT1G68030 (AT1G68030)
AT1G68050,FKF1,FKF1 (AT1G68050)
AT1G68060,MAP70-1,MAP70-1 (AT1G68060)
AT1G68070,AT1G68070,AT1G68070 (AT1G68070)
AT1G68080,AT1G68080,AT1G68080 (AT1G68080)
AT1G68100,IAR1,IAR1 (AT1G68100)
AT1G68110,AT1G68110,AT1G68110 (AT1G68110)
AT1G68120,BPC3,BPC3 (AT1G68120)
AT1G68130,IDD14,IDD14 (AT1G68130)
AT1G68140,AT1G68140,AT1G68140 (AT1G68140)
AT1G68160,AT1G68160,AT1G68160 (AT1G68160)
AT1G68180,AT1G68180,AT1G68180 (AT1G68180)
AT1G68185,AT1G68185,AT1G68185 (AT1G68185)
AT1G68190,BBX27,BBX27 (AT1G68190)
AT1G68200,AT1G68200,AT1G68200 (AT1G68200)
AT1G68220,AT1G68220,AT1G68220 (AT1G68220)
AT1G68230,AT1G68230,AT1G68230 (AT1G68230)
AT1G68238,AT1G68238,AT1G68238 (AT1G68238)
AT1G68240,AT1G68240,AT1G68240 (AT1G68240)
AT1G68260,AT1G68260,AT1G68260 (AT1G68260)
AT1G68290,ENDO2,ENDO2 (AT1G68290)
AT1G68300,AT1G68300,AT1G68300 (AT1G68300)
AT1G68310,AE7,AE7 (AT1G68310)
AT1G68330,AT1G68330,AT1G68330 (AT1G68330)
AT1G68340,AT1G68340,AT1G68340 (AT1G68340)
AT1G68350,AT1G68350,AT1G68350 (AT1G68350)
AT1G68360,AT1G68360,AT1G68360 (AT1G68360)
AT1G68370,ARG1,ARG1 (AT1G68370)
AT1G68390,AT1G68390,AT1G68390 (AT1G68390)
AT1G68400,AT1G68400,AT1G68400 (AT1G68400)
AT1G68410,AT1G68410,AT1G68410 (AT1G68410)
AT1G68430,AT1G68430,AT1G68430 (AT1G68430)
AT1G68440,AT1G68440,AT1G68440 (AT1G68440)
AT1G68470,AT1G68470,AT1G68470 (AT1G68470)
AT1G68490,AT1G68490,AT1G68490 (AT1G68490)
AT1G68500,AT1G68500,AT1G68500 (AT1G68500)
AT1G68520,BBX14,BBX14 (AT1G68520)
AT1G68530,KCS6,KCS6 (AT1G68530)
AT1G68540,TKPR2,TKPR2 (AT1G68540)
AT1G68550,CRF10,CRF10 (AT1G68550)
AT1G68552,AT1G68552,AT1G68552
AT1G68560,XYL1,XYL1 (AT1G68560)
AT1G68570,AT1G68570,AT1G68570 (AT1G68570)
AT1G68580,AT1G68580,AT1G68580 (AT1G68580)
AT1G68585,AT1G68585,AT1G68585 (AT1G68585)
AT1G68590,PSRP3/1,PSRP3/1 (AT1G68590)
AT1G68600,AT1G68600,AT1G68600 (AT1G68600)
AT1G68620,AT1G68620,AT1G68620 (AT1G68620)
AT1G68650,AT1G68650,AT1G68650 (AT1G68650)
AT1G68660,AT1G68660,AT1G68660 (AT1G68660)
AT1G68670,AT1G68670,AT1G68670 (AT1G68670)
AT1G68680,AT1G68680,AT1G68680 (AT1G68680)
AT1G68690,PERK9,PERK9 (AT1G68690)
AT1G68710,AT1G68710,AT1G68710 (AT1G68710)
AT1G68720,TADA,TADA (AT1G68720)
AT1G68725,AGP19,AGP19 (AT1G68725)
AT1G68730,AT1G68730,AT1G68730 (AT1G68730)
AT1G68740,PHO1;H1,PHO1;H1 (AT1G68740)
AT1G68760,NUDX1,NUDX1 (AT1G68760)
AT1G68780,AT1G68780,AT1G68780 (AT1G68780)
AT1G68790,LINC3,LINC3 (AT1G68790)
AT1G68795,CLE12,CLE12 (AT1G68795)
AT1G68800,TCP12,TCP12 (AT1G68800)
AT1G68810,AT1G68810,AT1G68810 (AT1G68810)
AT1G68820,AT1G68820,AT1G68820 (AT1G68820)
AT1G68825,RTFL15,RTFL15 (AT1G68825)
AT1G68830,STN7,STN7 (AT1G68830)
AT1G68840,RAV2,RAV2 (AT1G68840)
AT1G68862,AT1G68862,AT1G68862 (AT1G68862)
AT1G68870,SOFL2,SOFL2 (AT1G68870)
AT1G68872,AT1G68872,AT1G68872 (AT1G68872)
AT1G68890,PHYLLO,PHYLLO (AT1G68890)
AT1G68910,WIT2,WIT2 (AT1G68910)
AT1G68920,AT1G68920,AT1G68920 (AT1G68920)
AT1G68930,AT1G68930,AT1G68930 (AT1G68930)
AT1G68935,AT1G68935,AT1G68935 (AT1G68935)
AT1G68980,AT1G68980,AT1G68980 (AT1G68980)
AT1G68990,MGP3,MGP3 (AT1G68990)
AT1G69010,BIM2,BIM2 (AT1G69010)
AT1G69020,AT1G69020,AT1G69020 (AT1G69020)
AT1G69030,AT1G69030,AT1G69030 (AT1G69030)
AT1G69040,ACR4,ACR4 (AT1G69040)
AT1G69050,AT1G69050,AT1G69050 (AT1G69050)
AT1G69060,AT1G69060,AT1G69060 (AT1G69060)
AT1G69070,AT1G69070,AT1G69070 (AT1G69070)
AT1G69080,AT1G69080,AT1G69080 (AT1G69080)
AT1G69160,AT1G69160,AT1G69160 (AT1G69160)
AT1G69170,AT1G69170,AT1G69170 (AT1G69170)
AT1G69200,FLN2,FLN2 (AT1G69200)
AT1G69210,AT1G69210,AT1G69210 (AT1G69210)
AT1G69220,SIK1,SIK1 (AT1G69220)
AT1G69230,SP1L2,SP1L2 (AT1G69230)
AT1G69250,AT1G69250,AT1G69250 (AT1G69250)
AT1G69252,AT1G69252,AT1G69252 (AT1G69252)
AT1G69260,AFP1,AFP1 (AT1G69260)
AT1G69270,RPK1,RPK1 (AT1G69270)
AT1G69280,AT1G69280,AT1G69280 (AT1G69280)
AT1G69290,AT1G69290,AT1G69290 (AT1G69290)
AT1G69295,PDCB4,PDCB4 (AT1G69295)
AT1G69310,WRKY57,WRKY57 (AT1G69310)
AT1G69320,CLE10,CLE10 (AT1G69320)
AT1G69325,AT1G69325,AT1G69325 (AT1G69325)
