,gene_name,combined_name_id
AT1G02330,AT1G02330,AT1G02330 (AT1G02330)
AT1G02335,GL22,GL22 (AT1G02335)
AT1G02340,HFR1,HFR1 (AT1G02340)
AT1G02350,AT1G02350,AT1G02350 (AT1G02350)
AT1G02360,AT1G02360,AT1G02360 (AT1G02360)
AT1G02370,AT1G02370,AT1G02370 (AT1G02370)
AT1G02380,AT1G02380,AT1G02380 (AT1G02380)
AT1G02390,GPAT2,GPAT2 (AT1G02390)
AT1G02400,GA2OX6,GA2OX6 (AT1G02400)
AT1G02405,AT1G02405,AT1G02405 (AT1G02405)
AT1G02410,AT1G02410,AT1G02410 (AT1G02410)
AT1G02420,AT1G02420,AT1G02420 (AT1G02420)
AT1G02450,NIMIN1,NIMIN1 (AT1G02450)
AT1G02460,AT1G02460,AT1G02460 (AT1G02460)
AT1G02470,AT1G02470,AT1G02470 (AT1G02470)
AT1G02475,AT1G02475,AT1G02475 (AT1G02475)
AT1G02500,SAM1,SAM1 (AT1G02500)
AT1G02560,CLPP5,CLPP5 (AT1G02560)
AT1G02610,AT1G02610,AT1G02610 (AT1G02610)
AT1G02620,AT1G02620,AT1G02620 (AT1G02620)
AT1G02640,BXL2,BXL2 (AT1G02640)
AT1G02650,AT1G02650,AT1G02650 (AT1G02650)
AT1G02660,AT1G02660,AT1G02660 (AT1G02660)
AT1G02670,AT1G02670,AT1G02670 (AT1G02670)
AT1G02680,TAF13,TAF13 (AT1G02680)
AT1G02690,IMPA-6,IMPA-6 (AT1G02690)
AT1G02700,AT1G02700,AT1G02700 (AT1G02700)
AT1G02720,GATL5,GATL5 (AT1G02720)
AT1G02730,CSLD5,CSLD5 (AT1G02730)
AT1G02740,AT1G02740,AT1G02740 (AT1G02740)
AT1G02750,AT1G02750,AT1G02750 (AT1G02750)
AT1G02780,emb2386,emb2386 (AT1G02780)
AT1G02800,CEL2,CEL2 (AT1G02800)
AT1G02816,AT1G02816,AT1G02816 (AT1G02816)
AT1G02820,LEA3,LEA3 (AT1G02820)
AT1G02830,AT1G02830,AT1G02830 (AT1G02830)
AT1G02840,SR34,SR34 (AT1G02840)
AT1G02850,BGLU11,BGLU11 (AT1G02850)
AT1G02860,NLA,NLA (AT1G02860)
AT1G02870,AT1G02870,AT1G02870 (AT1G02870)
AT1G02880,TPK1,TPK1 (AT1G02880)
AT1G02890,AT1G02890,AT1G02890 (AT1G02890)
AT1G02900,RALF1,RALF1 (AT1G02900)
AT1G02910,LPA1,LPA1 (AT1G02910)
AT1G02920,GSTF7,GSTF7 (AT1G02920)
AT1G02930,GSTF6,GSTF6 (AT1G02930)
AT1G02950,GSTF4,GSTF4 (AT1G02950)
AT1G02960,AT1G02960,AT1G02960 (AT1G02960)
AT1G02970,WEE1,WEE1 (AT1G02970)
AT1G02990,AT1G02990,AT1G02990 (AT1G02990)
AT1G03000,PEX6,PEX6 (AT1G03000)
AT1G03020,AT1G03020,AT1G03020 (AT1G03020)
AT1G03030,AT1G03030,AT1G03030 (AT1G03030)
AT1G03040,AT1G03040,AT1G03040 (AT1G03040)
AT1G03055,D27,D27 (AT1G03055)
AT1G03060,SPI,SPI (AT1G03060)
AT1G03070,AT1G03070,AT1G03070 (AT1G03070)
AT1G03080,NET1D,NET1D (AT1G03080)
AT1G03090,MCCA,MCCA (AT1G03090)
AT1G03100,AT1G03100,AT1G03100 (AT1G03100)
AT1G03110,TRM82,TRM82 (AT1G03110)
AT1G03120,RAB28,RAB28 (AT1G03120)
AT1G03130,PSAD-2,PSAD-2 (AT1G03130)
AT1G03140,AT1G03140,AT1G03140 (AT1G03140)
