UniqueCount	AmbigCount
0	0
0	0
0	1
0	0
8	0
24	0
33	1
104	0
0	0
2	0
0	0
0	0
0	0
0	0
33	9
0	3
1	35
0	0
0	0
0	14
0	14
0	0
0	0
0	0
0	1
0	3
0	6
1	11
0	12
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	145
0	0
0	0
0	0
10	33
0	0
0	0
0	0
1	0
0	0
0	0
79	0
0	6
0	7
28	29
0	21
5	6
10	112
0	5
0	0
0	0
11	21
3	2
16	30
5	0
0	0
0	1
4	0
25	0
8	0
45	0
0	0
44	0
0	0
50	0
0	0
0	0
21	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	65
0	0
0	0
0	0
1	0
0	0
0	0
4	5
1	0
0	1
0	0
0	2
0	0
3	1
0	2
135	1
6	42
17	10
0	14
10	0
0	0
0	0
0	0
0	0
0	0
75	21
0	16
0	0
0	1
7	0
2	0
0	0
0	15
0	0
15	296
31	25
2	0
5	2
0	0
1	0
0	0
0	1
0	4
0	3
0	24
0	0
0	0
0	0
6	4
2	8
0	0
5	0
114	0
23	0
1	0
0	0
0	0
5201	4
0	0
222	0
4	0
0	0
102	0
18	0
11	0
0	0
0	0
672	0
200	0
138	0
246	1
209	6
148	1
168	4
691	4
0	0
3	0
39	0
0	0
0	0
0	0
0	0
3680	80
2468	79
8	0
119	0
0	0
0	0
836	0
672	5
521	5
73	0
0	0
2144	0
0	0
2	0
0	0
6448	58
19257	140
3656	75
0	0
0	0
103690	4827
283282	4846
2335	35
42	0
3	0
49	0
739	0
666	0
75	0
3	0
9	0
112	0
0	0
2	0
0	0
3	0
904	0
125	0
310	0
49	0
13	0
1007	0
2484	0
5	0
3	0
61	0
321	0
214	0
4284	34
2267	34
122	0
3452	13
10351	190
23600	179
15864	342
8111	480
2022	272
24073	291
1818	160
0	0
133	0
4	0
0	0
626	0
8625	107
5278	109
0	0
0	0
0	0
0	0
0	0
0	2024
78	0
1760	0
0	0
63	0
103	0
23	0
15	0
22	0
35	0
228	4
638	9
178	5
16986	2028
71	2922
0	2488
17	2667
12	2196
575	315
9	315
3093	1
4	873
61	873
186	0
2	0
1	0
0	0
3	0
139	0
0	0
1376	0
77	0
51	0
0	0
0	0
0	0
0	0
487	0
194	0
65	0
278	0
0	0
111	0
28	0
25	20
6	20
801	0
2997	0
1	0
87	186
6	186
455	1163
1	1163
3	0
25	873
110	873
314	1127
1	1127
0	0
848	1
51	74
0	74
250	0
87	4
3	4
0	0
142	0
1978	0
21	13
0	13
0	0
131	0
26	0
24	447
0	362
0	267
1	352
969	0
21635	2
4	0
72	333
0	333
0	0
51	0
354	0
1210	1
76	152
5	143
7	150
33	0
