,P002,P004,P007,P008,P009,P010,P016,P017,P020,P023,P024,P035,P037,P038,P039,P049,P050,P051,P052,P053,P054,P059,P064,P068,P077,P080,P085,P092,P094,P095,P097,P100,P109,P110,P111,P112,P114,P122,P127,P130,P138,P140,P142,P143,P144,P152,P154,P155,P158,P159,P170,P174,P181,P183,P188,P199,P200,P202,P203,P204,P205,P213,P214,P217,P219
AT1G01010,2.03435799698591,-1.46280022352951,1.74573338089409,-0.193704970725821,0.535436532570695,-0.480534901953559,-0.0978208519297913,-1.01174497344016,1.31446627950095,-0.830651614650067,0.345243222512425,-0.262032852165322,-0.646494971861901,-0.664331941837604,0.516843730565034,2.04896852979409,-0.0856143311287964,-0.835046761255989,2.76595678679392,-1.52492162521641,-1.53981517882875,-1.40272323094568,-0.988071115585535,-0.350878077078836,-0.189126693011318,-0.15281678866466,-0.734973934558255,1.05385406370885,-0.478796821250308,0.738086087668933,-1.08706180391439,-0.409250285524619,0.250484527620033,-1.0589694918582,0.523616251925978,-0.786859972103781,1.43235276857876,0.420396899817185,0.0619160899433461,-0.50853065397068,-0.482176422617741,0.447606852895671,-0.248947302043143,-0.622195138581579,0.832748222522255,-0.668104442674355,-0.71724018393466,0.0260157333486036,-1.23441908284751,-0.0925999505069981,2.23150362985719,0.544503187273671,-1.54334128508305,-0.297923219790506,-0.167453958724991,-0.17860830806578,0.311636999259714,0.569921785144591,1.05041119886754,-0.342204321845178,-0.35075155013109,1.31152619279411,-0.525691703672897,2.23361796174716,-0.0919739750813061
AT1G01030,-1.01136554161408,-0.753148306276988,0.720292301841311,0.394619022251198,2.61507029751401,-1.20193519587776,-1.13090822258724,-1.1944595706702,0.278326778012124,-0.32641659708309,2.11709826956134,0.342286801192054,-0.775386489685517,1.37243724717384,1.14346256401852,0.646770608875357,1.65305954948574,-0.284874915707102,0.0126045232029618,-1.21984388858389,0.10821742825487,-0.133796929920026,-0.573432721235899,0.560020548675686,-0.856390445273595,-0.871196620770299,0.130873768781173,0.350526677276994,-0.319321200910062,0.155124985207922,-0.940604064906268,0.677562523257678,-0.226214393958557,0.449105558438649,1.14012489269297,-1.04114193156752,1.06136248682466,-1.12794509108373,1.42297357349134,-1.05146311122052,-1.08133716598831,-0.655610551000405,-0.133391099429306,1.30753091831695,0.952941268060975,-1.18894387916432,0.176152314558859,-1.1345663862162,-0.0400349153304658,0.610246812912661,-0.00661837758760244,0.555614253604718,-0.820756062862991,-1.08218485864884,0.173448042223502,-1.15345741627837,-1.04412592351681,2.20342827623907,-0.993234969620965,1.27471364428936,-1.19647734469883,-1.123436390188,-0.428083772422955,1.08955917211096,1.42654924353925
AT1G01060,-0.960375432926121,0.107329579784361,0.845708650950919,1.31078500542557,0.612174135558494,-1.68991569974945,-1.71227057304023,-1.43371169121179,-0.817033117059361,0.653961441235953,0.457894626767209,0.784625583751555,-0.0143588358273563,0.62821798626471,1.03394747174484,0.296261067649861,1.2360089270725,-0.162545542365132,-0.121759986304269,-1.40690255586953,0.148326056995652,-1.30955137032756,-0.85731326778602,1.0691302774375,-0.641060191759312,-0.42046460665342,-1.1046563227427,1.85561271078375,0.555852902780336,-0.483400407251721,-0.076729579167048,-0.120518370510632,-0.174112478390341,1.35938420849589,0.579462480050697,-0.556564625166421,0.588534858173872,-0.818549836453735,1.1463533431706,-0.847437728098382,-1.48763652748251,-0.428429522888901,0.856351107995785,0.873519284213897,1.30362123718748,-0.582087846239542,0.0255007310778632,-1.23407356385111,0.312069582704943,2.10388653711786,2.10818223076271,-0.300996903822416,-1.46497181655906,-1.07464838441618,-0.168595556318434,-1.4024581099575,-0.852526263776457,0.305538074526378,-0.535671349871517,1.05177131573965,-1.58705514301209,-0.0553855165446753,-0.0686254751079545,1.49815018980763,1.26423259328042
AT1G01210,-1.0702500921959,-1.02990440816275,0.479733621594565,1.46441504041472,1.82327974761544,-0.564564104376216,-0.685505201971935,-1.04088657576421,1.01875219040388,0.396387991688462,2.07686695397177,-0.249499443342944,-0.923415661495048,0.466003292349863,1.18610896764132,0.602265879097967,-0.419893478554989,-1.43791056041522,-0.0413782341524378,-0.51582496964203,-0.377380291181686,-0.568537278334746,-0.932818997390592,1.52836080655486,-1.26391216994742,-0.970955878607679,-0.520805152214655,0.4596195440064,-0.495027498736075,-0.651215336115325,-0.779859094173234,0.0400733730226459,0.307520765682262,-0.188476077430981,1.45940095528725,-0.357615307173473,0.0894022067412137,-0.566181975387721,2.12907524468236,-0.912132069360455,-1.28916176545044,-0.7038113487714,0.488337679075738,1.70085001965671,2.14976340553268,-0.788288091189357,0.193042522391327,-0.790427239665452,-0.842717718387808,0.255788959969848,0.184022799040675,0.499787907404176,-0.89296130467727,-0.171038657915824,-0.549192069596599,-1.05381166796369,-0.997904916723874,1.95848765670262,-0.509203492474549,1.23527280892627,-0.72228413176471,-0.255059462338539,-0.885901559937076,2.03669119365293,0.78640174987636
AT1G01250,-0.788406740692888,0.0921795811324498,-0.355799575532298,0.685777125401463,1.86408558055311,-1.17116159298048,-1.22989364562665,-1.55392333888129,0.636202854927991,0.644393233380029,1.40260413347851,-0.490398905396824,-0.104386437888381,3.10271621513166,-0.148726158063411,-0.353483321493304,-0.550371808421018,-1.62079598277297,-1.0814603659611,-0.428569322547721,-0.151638326666671,-0.346848601755947,1.32456919788371,-0.286207018250257,-0.64304954443363,0.162270010479751,-0.35849651021196,-1.26804060326687,-1.06517305581389,-0.174396441748216,-2.06679897031714,0.0127620931102711,-0.659083322806072,0.30805461075811,0.557766557852885,-1.33312780133682,-0.367848845468614,-0.283824891907244,-1.16250857648627,0.514904368776141,0.141399213504053,0.894256074008429,0.0813489488204869,0.935236306678491,-0.102292311386195,0.534353549516267,-1.17534218641462,-0.116055793141051,0.639122683101485,-1.04373008894166,1.33833421155261,1.26251365771268,0.00194677993877713,-0.335677118568537,1.88109135838834,-0.165769467792796,0.575205867363407,1.01102469032344,0.00192150335700226,0.327800216866321,-0.180821289261141,1.48312000387235,-1.78521708338954,0.625488648083596,1.90687576966965
AT1G01260,2.82582402178153,0.720914028217481,-0.646283268620057,-0.191306170698671,-1.06055837196453,-0.973999423205799,-0.821489520886333,1.10441965219867,0.143984908446651,-0.451299625766653,-0.716593317291636,-0.460646296283259,-1.2381008970859,-0.000559242999186266,-0.617313958945726,-1.12399619389371,0.64362595335687,1.74588880305911,0.203356557613497,0.780028284700729,0.767721598322767,1.77489916923512,-0.856747581250371,-1.00391698015927,1.53811605993303,0.0624640661726671,0.134651660247902,0.0949831841459219,0.13273147924635,1.01536888960733,0.375310661218013,1.26750239324831,-0.565287475838685,-0.338533206619541,-0.919310583874567,0.170023415539665,0.944910405891222,-0.458772698620147,0.0475534501305927,-1.25726401924408,1.28978344088969,-0.576458792035631,0.922795163352778,-0.939850677935175,-1.37347681588781,-0.29055789486076,-0.411699050802064,1.17500209496792,1.45617280942062,-0.245776305203657,-0.788097952252421,-1.16899333018462,0.934519952774266,-1.96223415588244,1.27850632524611,1.20450277051974,1.22255262984395,-0.220038615940245,-1.6570248596973,-0.460863422013286,-1.6594732483839,-0.428419311110404,0.939426994272889,-0.315494982341453,-0.717102575822064
AT1G01380,-1.30316813991116,-0.13992748195571,-0.431402580054519,0.93475991740582,0.412059796030071,0.530759576158023,0.681522261600537,-0.274426686211462,0.4405305559623,1.1040204328375,1.39699941955332,-0.125266716352214,0.637956756778191,0.377865665703981,-0.39470769779958,0.253751886554809,1.32880451600904,-1.97519151048172,-0.00449156993279428,-0.634784179793753,0.99766542984286,-1.11817265272097,0.722625685915613,-0.535394329508155,-0.715040270046419,-0.905600145119524,1.22000461980561,0.772829784775884,-0.545599287980694,-1.37110523397824,-0.851322656519477,0.798163862735501,1.01080941635549,-0.327419424250124,0.355388976116675,-1.22861393592925,3.70737193996377,0.921104608763408,0.985191747970952,-1.00684622364097,0.228709992669353,0.900926720347812,-0.346828181058737,-0.710631727986282,-0.17161656352833,-1.97519151048172,0.30680907696277,-0.254403483482186,0.828976392085638,-1.32969673511514,0.241819604585023,2.14770624256562,0.11219729627299,-0.320600363578158,-0.607142707013188,-0.000237713558978127,0.111746129687888,-0.0449418769056284,-1.30820831519044,0.373697745822565,-1.68353594574887,-1.53131663676017,0.197003723798252,-0.366769744120233,-0.500177554922501
AT1G01520,-0.943796173528418,-0.590919468018317,0.965965067714401,1.0389060569294,0.676827425047174,-0.958689826503802,-1.30901779701155,-1.32474154732435,0.488973553020232,1.59093630214732,0.963305653067062,0.620830765407463,-0.860211836583434,1.26508146304708,-0.0146059018120937,0.352912582901852,2.1387653756071,-1.32413642963913,-0.166798171590238,-1.39268074753615,0.764761885795886,-0.662592296067372,-0.973672954145461,0.869770491965174,-0.838714642920143,-0.558298452839084,0.058859522730092,0.764450017450428,-0.960127627499446,0.426117341364251,-1.1549046664788,-0.05940271232926,-0.19238637456128,1.02423221166018,0.862886114607972,-1.48405868994997,1.74249500853709,-1.13104079031332,0.100615746177693,-1.15749270827095,-1.36815175911154,0.584234592511496,1.73617385610229,0.552071294555697,0.879963880390768,-0.768562367003172,0.0741022820623314,-0.907975275341973,0.835850283943834,0.84568680809353,1.17282170383557,1.06168123845608,-1.02622458053626,-1.12843981865609,0.471994054211959,-1.09933055482953,-0.790234889636796,1.17580798547185,-1.09215189374336,0.320071242821848,-1.18257250894749,-0.908774341003221,-0.563771406125382,1.61951388992225,0.847813512300037
AT1G01720,0.873837830087739,-0.863705244939805,0.824080259504179,0.223595864744675,-0.549421812515862,-1.61331951629186,-0.105287746342232,-0.101382417518882,0.725196827036385,-0.322309868594136,0.0190187272698524,-0.414638784305824,-1.26148391229621,0.751925866626468,0.810688520179004,0.932411563931132,-0.317677966966441,0.0792151224095961,2.02729102200514,-0.255550871689337,0.726192091638182,0.686137609796317,-1.28409471782725,-0.340278531486142,0.0361532867384742,-1.03739306671896,-1.09416977257297,-0.00381441600732181,-0.172004431700189,-1.26933849849154,-1.07212383966727,1.52325054301279,0.392815371577228,-0.208317979900695,-1.48269056568055,-0.135897320728218,2.77124363108952,-0.359383138135682,-1.3055296935566,-1.25519727883666,-0.719481351778364,-0.00481803511836757,2.44524582919731,0.146558934961807,-0.441136862140223,-0.520497423495441,0.282608614574077,-0.27215532407111,1.00632282925377,-0.113063638450447,1.7378256025557,0.0363160649186757,1.34946273662295,-1.73931979927906,0.976140682340962,-0.949227930616734,-0.217232241269128,0.903458877379386,1.44781956550777,-0.104046158467746,-1.39712098695171,-1.66755133082858,0.356759196161644,0.835988399686951,0.0431010044298673
AT1G02220,3.0298868143869,-0.121999486944282,0.449724676200548,-1.27913199319403,-0.432898677029128,0.599009197936001,0.152087507873177,0.454065087942914,-0.130670929135623,-1.404613046498,-0.375716566711474,0.726785541023044,0.304111367278884,-2.13645087104962,-0.100888449716103,-0.131630948159331,0.212740696745605,-1.4095663694086,0.760120403540061,-0.570268956157654,-1.74405013107912,0.870591387417988,-0.0779105351030593,-0.824364414758293,1.20647296180381,0.483825677677854,-0.215665447260628,-0.939388453028788,2.89365167175872,-1.21751565820009,0.410110601306966,2.96112506092661,-0.425925248941609,-0.00516173195147332,-0.864356868485324,0.446147276320673,-0.191280338638892,0.982735368617359,-1.66520036012541,0.529991022456348,-0.419789883063711,-0.0468240559021516,-0.444218771054607,-0.488858092108118,-0.0854624762830406,0.720703335807696,0.618697405666502,-0.191586794223007,-0.443690291526898,-0.444328219477505,-1.29330400041045,-1.14314701838961,0.310862771422808,1.17626519708389,0.408243723922101,-0.389801015189583,0.925403157605445,-0.818132108848686,0.604963192141667,-0.0672440045171731,-0.592862237741655,0.712041274909747,-0.353435994907182,1.00165743738757,-0.46467937194099
